Electoral District Number/Numero de circonscription,Candidate/Candidat,Name,,Party,,
48026,Rachael Harder ** Conservative/Conservateur,Rachael,Harder,**,Conservative/Conservateur,
48026,Elaine Perez NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Elaine,Perez,NDP-New,Democratic,
48026,Devon Hargreaves Liberal/Libéral,Devon,Hargreaves,Liberal/Libéral,,
48026,Kimmie Hovan People's Party - PPC/Parti populaire - PPC,Kimmie,Hovan,People's,Party,
48026,Kim Siever Independent/Indépendant(e),Kim,Siever,Independent/Indépendant(e),,
48026,Geoffrey Capp Christian Heritage Party/Parti de l'Héritage Chrétien,Geoffrey,Capp,Christian,Heritage,
48027,Glen Motz Conservative/Conservateur,Glen,Motz,Conservative/Conservateur,,
48027,Jocelyn Stenger NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Jocelyn,Stenger,NDP-New,Democratic,
48027,Brodie Heidinger ** People's Party - PPC/Parti populaire - PPC,Brodie,Heidinger,**,People's,PPC
48027,Hannah Wilson Liberal/Libéral,Hannah,Wilson,Liberal/Libéral,,
48027,Geoff Shoesmith Maverick Party/Maverick Party,Geoff,Shoesmith,Maverick,Party/Maverick,
48027,Diandra Bruised Head Green Party/Parti Vert,Diandra,Bruised,Head,Green,
48028,Arnold Viersen ** Conservative/Conservateur,Arnold,Viersen,**,Conservative/Conservateur,
48028,Gail Ungstad NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Gail,Ungstad,NDP-New,Democratic,
48028,Darryl Boisson People's Party - PPC/Parti populaire - PPC,Darryl,Boisson,People's,Party,
48028,Colin Krieger Maverick Party/Maverick Party,Colin,Krieger,Maverick,Party/Maverick,
48028,Leslie Penny Liberal/Libéral,Leslie,Penny,Liberal/Libéral,,
48028,Jordan Francis MacDougall Green Party/Parti Vert,Jordan,Francis,MacDougall,Green,
48030,Blaine Calkins ** Conservative/Conservateur,Blaine,Calkins,**,Conservative/Conservateur,
48030,Tanya Heyden-Kaye NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Tanya,Heyden-Kaye,NDP-New,Democratic,
48030,Megan Lim People's Party - PPC/Parti populaire - PPC,Megan,Lim,People's,Party,
48030,David Ondieki Liberal/Libéral,David,Ondieki,Liberal/Libéral,,
48030,Harry Joujan Maverick Party/Maverick Party,Harry,Joujan,Maverick,Party/Maverick,
48030,Joan Barnes No Affiliation/Aucune appartenance,Joan,Barnes,No,Affiliation/Aucune,
48030,Matthew Watson Libertarian/Libertarien,Matthew,Watson,Libertarian/Libertarien,,
48029,Earl Dreeshen ** Conservative/Conservateur,Earl,Dreeshen,**,Conservative/Conservateur,
48029,Marie Grabowski NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Marie,Grabowski,NDP-New,Democratic,
48029,Kelly Lorencz People's Party - PPC/Parti populaire - PPC,Kelly,Lorencz,People's,Party,
48029,Olumide Adewumi Liberal/Libéral,Olumide,Adewumi,Liberal/Libéral,,
48029,Mark Wilcox Maverick Party/Maverick Party,Mark,Wilcox,Maverick,Party/Maverick,
48029,Clayten Willington Independent/Indépendant(e),Clayten,Willington,Independent/Indépendant(e),,
48029,Jared Pilon Libertarian/Libertarien,Jared,Pilon,Libertarian/Libertarien,,
48031,Michael Cooper ** Conservative/Conservateur,Michael,Cooper,**,Conservative/Conservateur,
48031,Kathleen Mpulubusi NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Kathleen,Mpulubusi,NDP-New,Democratic,
48031,Greg Springate Liberal/Libéral,Greg,Springate,Liberal/Libéral,,
48031,Brigitte Cecelia People's Party - PPC/Parti populaire - PPC,Brigitte,Cecelia,People's,Party,
48032,Garnett Genuis ** Conservative/Conservateur,Garnett,Genuis,**,Conservative/Conservateur,
48032,Aidan Bradley Theroux NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Aidan,Bradley,Theroux,NDP-New,
48032,Tanya Holm Liberal/Libéral,Tanya,Holm,Liberal/Libéral,,
48032,John Wetterstrand People's Party - PPC/Parti populaire - PPC,John,Wetterstrand,People's,Party,
48032,Todd Newberry Maverick Party/Maverick Party,Todd,Newberry,Maverick,Party/Maverick,
48032,Sheldon Jonah Perris Green Party/Parti Vert,Sheldon,Jonah,Perris,Green,
48032,Charles Simpson Independent/Indépendant(e),Charles,Simpson,Independent/Indépendant(e),,
48033,Dane Lloyd ** Conservative/Conservateur,Dane,Lloyd,**,Conservative/Conservateur,
48033,Kendra Mills NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Kendra,Mills,NDP-New,Democratic,
48033,Murray MacKinnon People's Party - PPC/Parti populaire - PPC,Murray,MacKinnon,People's,Party,
48033,Irene Walker Liberal/Libéral,Irene,Walker,Liberal/Libéral,,
48033,Jeff Dunham Maverick Party/Maverick Party,Jeff,Dunham,Maverick,Party/Maverick,
48033,Jeffrey Willerton Christian Heritage Party/Parti de l'Héritage Chrétien,Jeffrey,Willerton,Christian,Heritage,
48034,Gerald Soroka ** Conservative/Conservateur,Gerald,Soroka,**,Conservative/Conservateur,
48034,Michael Manchen People's Party - PPC/Parti populaire - PPC,Michael,Manchen,People's,Party,
48034,Guillaume Roy NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Guillaume,Roy,NDP-New,Democratic,
48034,Sheila Schumacher Liberal/Libéral,Sheila,Schumacher,Liberal/Libéral,,
48034,Todd Muir Maverick Party/Maverick Party,Todd,Muir,Maverick,Party/Maverick,
48034,Gordon Francey VCP/CAC,Gordon,Francey,VCP/CAC,,
